ticker,max_drawdown,num_drawdowns,gics_industry_group
CBAN,-21.42,9,Banks
CBL,-30.15,7,Equity Real Estate Investment Trusts (REITs)
CBOE,-14.99,3,Financial Services
CBRE,-22.56,7,Real Estate Management & Development
CBRL,-69.6,3,Consumer Services
CBSH,-28.56,5,Banks
CBT,-49.82,5,Materials
CBU,-28.79,11,Banks
CBZ,-58.27,4,Commercial & Professional Services
CC,-70.78,6,Materials
CCB,-28.58,6,Banks
CCBG,-16.85,11,Banks
CCC,-55.45,5,Software & Services
CCI,-34.83,4,Equity Real Estate Investment Trusts (REITs)
CCK,-22.26,4,Materials
CCL,-42.33,8,Consumer Services
CCNE,-30.7,11,Banks
CCO,-57.07,4,Media & Entertainment
CCOI,-80.46,4,Telecommunication Services
CCRN,-67.98,2,Health Care Equipment & Services
CCS,-52.19,9,Consumer Durables & Apparel
CCSI,-52.82,12,Software & Services
CDE,-40.17,12,Materials
CDLX,-93.95,9,Media & Entertainment
CDMO,-30.72,7,"Pharmaceuticals, Biotechnology & Life Sciences"
CDNA,-65.96,6,"Pharmaceuticals, Biotechnology & Life Sciences"
CDNS,-29.05,5,Software & Services
CDP,-25.23,6,Equity Real Estate Investment Trusts (REITs)
CDRE,-29.96,9,Capital Goods
CDW,-51.63,1,Technology Hardware & Equipment
CDXS,-78.66,9,"Pharmaceuticals, Biotechnology & Life Sciences"
CE,-79.33,3,Materials
CECO,-47.93,9,Capital Goods
CEG,-50.79,8,Utilities
CELC,-61.99,5,"Pharmaceuticals, Biotechnology & Life Sciences"
CELH,-77.86,8,"Food, Beverage & Tobacco"
CENT,-38.77,5,Household & Personal Products
CENTA,-35.68,5,Household & Personal Products
CENX,-42.77,12,Materials
CERE,-9.96,2,"Pharmaceuticals, Biotechnology & Life Sciences"
CERS,-52.07,11,Health Care Equipment & Services
CERT,-62.06,2,Health Care Equipment & Services
CEVA,-51.53,10,Semiconductors & Semiconductor Equipment
CF,-29.59,7,Materials
CFB,-24.46,5,Banks
CFFN,-29.94,10,Banks
CFG,-29.28,8,Banks
CFLT,-57.74,6,Software & Services
CFR,-27.06,8,Banks
CG,-38.94,6,Financial Services
CGEM,-80.41,7,"Pharmaceuticals, Biotechnology & Life Sciences"
CGNX,-56.02,6,Technology Hardware & Equipment
CHCO,-18.92,10,Banks
CHCT,-52.33,2,Equity Real Estate Investment Trusts (REITs)
CHD,-27.92,10,Household & Personal Products
CHDN,-41.17,6,Consumer Services
CHE,-36.64,4,Health Care Equipment & Services
CHEF,-26.03,6,Consumer Staples Distribution & Retail
CHGG,-95.88,5,Consumer Services
CHH,-45.89,8,Consumer Services
CHPT,-77.34,9,Capital Goods
CHRD,-56.23,5,Energy
CHRS,-78.66,7,"Pharmaceuticals, Biotechnology & Life Sciences"
CHRW,-23.76,6,Transportation
CHTR,-57.21,6,Media & Entertainment
CHUY,-36.83,2,Consumer Services
CHX,-42.76,4,Energy
CI,-33.38,2,Health Care Equipment & Services
CIEN,-45.51,10,Technology Hardware & Equipment
CIM,-37.12,7,Financial Services
CINF,-20.95,5,Insurance
CIO,-36.09,7,Equity Real Estate Investment Trusts (REITs)
CIVB,-24.92,6,Banks
CIVI,-68.94,10,Energy
CL,-31.07,5,Household & Personal Products
CLB,-60.23,5,Energy
CLBK,-32.63,6,Banks
CLDT,-44.4,7,Equity Real Estate Investment Trusts (REITs)
CLDX,-70.84,8,"Pharmaceuticals, Biotechnology & Life Sciences"
CLF,-74.46,6,Materials
CLFD,-41.84,7,Technology Hardware & Equipment
CLH,-30.86,3,Commercial & Professional Services
CLNE,-65.26,9,Energy
CLSK,-71.28,12,Software & Services
CLVT,-77.97,1,Commercial & Professional Services
CLW,-70.4,6,Materials
CLX,-42.6,5,Household & Personal Products
CMA,-30.68,5,Banks
CMAXQ,-87.25,5,Health Care Equipment & Services
CMBM,-70.22,2,Technology Hardware & Equipment
CMC,-38.09,3,Materials
CMCL,-45.96,8,Materials
CMCO,-72.3,5,Capital Goods
CMCSA,-46.95,1,Media & Entertainment
CME,-12.61,3,Financial Services
